ind.names,site,X,Y,omegaX,omegaY,WC_bio1,WC_bio5,WC_bio15,WC_bio19,cols,pch
MBR_10,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
MBR_11,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
MBR_12,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
MBR_14,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
MBR_15,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
MBR_16,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
MBR_17,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
MBR_18,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
MBR_19,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
MBR_1,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
MBR_20,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
MBR_21,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
MBR_2,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
MBR_3,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
MBR_4,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
MBR_5,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
MBR_6,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
MBR_7,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
MBR_8,MBR,139.275119,-35.113116,-0.00248219,0.00411589,15.8999996185303,28.7999992370605,26,110,darkturquoise,15
